kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5560831,K03819.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,867721348,"3,57","-3,57",1321616460,434,-434,9870,150,-150,487830,2250,-2250,977000000,220000,-220000,67.00,20200,-20200,2089.0,,,4487.70,4271.74,-2547.21,587.90,1,q1_q17_dr25_tce,5510.00,200.00,-166.00,4186,294,-196,1.2760,3840,-3840,298494570,40731586,16090
5305404,K03820.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,161252567000,13300,-13300,1891023800,6210,-6210,8690,100,-150,2362600,35700,-35700,29100000,36200,-36200,05.04,1380,-360,318.0,,,2.41,1.94,-0.58,94.70,1,q1_q17_dr25_tce,5985.00,161.00,-179.00,4574,33,-187,8110,2220,-590,298931430,40404911,14720
3728432,K03893.01,Kepler-1526 b,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,3908634570,"72,5","-72,5",1339297100,1470,-1470,1110,3350,-1110,177040,5080,-5080,8670000,27700,-27700,1.86,130,-180,787.0,,,91.01,24.90,-25.15,36.60,1,q1_q17_dr25_tce,4518.00,121.00,-134.00,4613,52,-24,6530,460,-630,285119690,38866421,15646
6696580,K02092.03,Kepler-359 d,CONFIRMED,CANDIDATE,7830,0,0,0,0,77086191000,13500,-13500,2027483000,15700,-15700,1.2270,699000,-24090,477000,47300,-47300,9430000,86900,-86900,29.77,8880,-3800,464.0,,,11.00,9.99,-3.95,12.90,3,q1_q17_dr25_tce,6228.00,196.00,-261.00,4441,65,-195,1.0490,3130,-1340,293293640,42196350,15886
5473535,K03894.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1673662758,38,-38,1316716600,1900,-1900,1.1860,6.5000,-1390,231350,9840,-9840,3160000,11400,-11400,23.42,7390,-2470,1729.0,,,2106.67,1901.35,-641.32,33.40,1,q1_q17_dr25_tce,6444.00,155.00,-222.00,4433,65,-195,1.0530,3320,-1110,298145020,40698090,14576
12106934,K03895.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,5937177240,361,-361,1359568200,6720,-6720,6.2820,2.8240,-42450,535500,10600,-10600,255000000,504000,-504000,594.32,0,0,1005.0,,,241.60,0.00,0.00,56.30,1,q1_q17_dr25_tce,5780.00,,,4438,,,1.2000,,,289172670,50630558,18358
6222898,K03896.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,3890430620,566,-566,1327665000,13400,-13400,250,4420,-250,659600,43000,-43000,1950000,16100,-16100,1.24,320,-170,1106.0,,,354.22,276.36,-121.36,14.40,1,q1_q17_dr25_tce,5646.00,169.00,-169.00,4449,112,-168,8960,2310,-1240,296716890,41504978,15204
3955866,K03897.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,16828254200,2870,-2870,2962330000,11000,-11000,7071,434,-4711,3909800,46200,-46200,6550000,12600,-12600,2.66,760,-220,668.0,,,46.95,38.99,-12.28,78.30,,,5575.00,141.00,-180.00,4496,39,-229,9720,2790,-800,291929630,39067108,14889
11200767,K03667.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2489549075,"10,5","-10,5",1320450370,353,-353,1.3300,3550,-2740,243450,2040,-2040,28300000,22700,-22700,59.57,15900,-17700,1708.0,,,2007.56,1580.52,-1140.13,160.60,1,q1_q17_dr25_tce,6184.00,169.00,-206.00,4138,293,-158,1.4060,3750,-4170,296474700,48853710,13368
9892816,K01955.03,Kepler-342 e,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,1644221032,"59,5","-59,5",1317524100,2900,-2900,9420,140,-6480,291220,7780,-7780,478000,2200,-2200,1.18,190,-160,1897.0,,,3071.95,1416.69,-959.78,24.10,3,q1_q17_dr25_tce,6297.00,113.00,-126.00,4260,90,-110,1.3690,2280,-1870,292678070,46726711,13147
